trial_id,trial_hash,fixture_role,closest_clearance_m,seed,condition,initial_state_hash,parameters_hash,dt_ms,telemetry_bin_ms,input_onset_ms,first_escape_sim_ms,escaped,lc4_spikes,lplc2_spikes,dnp01_spikes,simulated_duration_ms,wall_compute_ms,trace_file
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,near_miss,0.002000,41003,baseline,1414aaa9cce4335e398a9f14b2db784ada38ec8d27baf37f8dddc18b780e05ef,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,112.0,true,2103,3379,263,800.0,770.157,evidence/traces/course-05-seed-41003-baseline.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,near_miss,0.002000,41003,sensory_outputs_silenced,1414aaa9cce4335e398a9f14b2db784ada38ec8d27baf37f8dddc18b780e05ef,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2087,3378,0,800.0,679.681,evidence/traces/course-05-seed-41003-sensory_outputs_silenced.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,near_miss,0.002000,41004,baseline,1df979143119ac0151bc89df012077f0f77b2b3d4a828e7a4228147b56d39b1f,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,112.5,true,2106,3351,261,800.0,753.88,evidence/traces/course-05-seed-41004-baseline.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,near_miss,0.002000,41004,sensory_outputs_silenced,1df979143119ac0151bc89df012077f0f77b2b3d4a828e7a4228147b56d39b1f,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2083,3351,0,800.0,689.91,evidence/traces/course-05-seed-41004-sensory_outputs_silenced.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,near_miss,0.002000,41005,baseline,302ba7d6d361bf4f55a13e5c222c54b56b9ee79d520457d2755b622557a9f0ce,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,113.0,true,2103,3244,251,800.0,747.003,evidence/traces/course-05-seed-41005-baseline.json
course-05,9697a755d63a6a460b90bf7446a7d642f567ec4ea230f18faf101d8e82122445,near_miss,0.002000,41005,sensory_outputs_silenced,302ba7d6d361bf4f55a13e5c222c54b56b9ee79d520457d2755b622557a9f0ce,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2084,3244,0,800.0,689.108,evidence/traces/course-05-seed-41005-sensory_outputs_silenced.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,near_miss,0.006000,41001,baseline,0b4a623c6f80cf10e9a6216a71efc31b16c0ae56442cf7719d835721d43ad5d3,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,111.5,true,2769,3373,234,800.0,744.335,evidence/traces/course-06-seed-41001-baseline.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,near_miss,0.006000,41001,sensory_outputs_silenced,0b4a623c6f80cf10e9a6216a71efc31b16c0ae56442cf7719d835721d43ad5d3,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2639,3339,0,800.0,680.495,evidence/traces/course-06-seed-41001-sensory_outputs_silenced.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,near_miss,0.006000,41002,baseline,b2569a71f155fc3d6ec79dfa0d2f2f0ceac8c0958b2ea42d30aa8bdb727f017e,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,112.0,true,2684,3256,230,800.0,808.249,evidence/traces/course-06-seed-41002-baseline.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,near_miss,0.006000,41002,sensory_outputs_silenced,b2569a71f155fc3d6ec79dfa0d2f2f0ceac8c0958b2ea42d30aa8bdb727f017e,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2591,3231,0,800.0,1165.658,evidence/traces/course-06-seed-41002-sensory_outputs_silenced.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,near_miss,0.006000,41003,baseline,55d2fea9e809691db3f638d128d5159535a645c8a5789d206d40dcc9659a0041,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,112.5,true,2748,3412,243,800.0,740.43,evidence/traces/course-06-seed-41003-baseline.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,near_miss,0.006000,41003,sensory_outputs_silenced,55d2fea9e809691db3f638d128d5159535a645c8a5789d206d40dcc9659a0041,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2644,3392,0,800.0,673.494,evidence/traces/course-06-seed-41003-sensory_outputs_silenced.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,near_miss,0.006000,41004,baseline,616cc77c6e754cf93878c3d3ea1c015b57031a5803a1bd6ee334b055aebfa3d6,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,111.5,true,2706,3367,235,800.0,714.977,evidence/traces/course-06-seed-41004-baseline.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,near_miss,0.006000,41004,sensory_outputs_silenced,616cc77c6e754cf93878c3d3ea1c015b57031a5803a1bd6ee334b055aebfa3d6,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2601,3338,0,800.0,657.824,evidence/traces/course-06-seed-41004-sensory_outputs_silenced.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,near_miss,0.006000,41005,baseline,7048a60dea73187e51b8b37860b511324e6ae07119b0eda0f1cb9f6c3f532cbc,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,113.0,true,2709,3260,220,800.0,735.07,evidence/traces/course-06-seed-41005-baseline.json
course-06,d5a07fd14efa21b24fd8a78c9e2e06781ea9a749cd75fc9874acbfc14a8fd480,near_miss,0.006000,41005,sensory_outputs_silenced,7048a60dea73187e51b8b37860b511324e6ae07119b0eda0f1cb9f6c3f532cbc,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,,false,2603,3231,0,800.0,920.193,evidence/traces/course-06-seed-41005-sensory_outputs_silenced.json
course-07,a2625aa0a4530b64ed87c254242afee260dee4873e95c461561e713606b52c39,near_miss,0.013000,41001,baseline,78e44e6973bd413614e74356b5c03ad2ad4e529bd7c7dc31ada586d00508d49f,cc93a21360489eb113e55a3450dd15960dadb1f038a67adf15e1523b695fdb3d,0.5,5.0,100.0,112.5,true,1899,2988,219,800.0,757.034,evidence/traces/course-07-seed-41001-baseline.json
