trial_id,trial_hash,seed,condition,escape_sim_ms,lc4_spikes,lplc2_spikes,dnp01_spikes,wall_compute_ms,trace_file
course-09,8bd0fc141c66b61d24e62c3934a67eec7f22ae8ec7525271902f1a90cc9541b4,41004,sensory_outputs_silenced,,0,0,0,434.371,course-09-seed-41004-sensory_outputs_silenced.json
course-09,8bd0fc141c66b61d24e62c3934a67eec7f22ae8ec7525271902f1a90cc9541b4,41005,baseline,,0,0,0,482.041,course-09-seed-41005-baseline.json
course-09,8bd0fc141c66b61d24e62c3934a67eec7f22ae8ec7525271902f1a90cc9541b4,41005,sensory_outputs_silenced,,0,0,0,431.522,course-09-seed-41005-sensory_outputs_silenced.json
course-10,9e4e86aaa8ceb1c263b4cb7ed6be993b47868f34778c75bcb9e020250a06eec5,41001,baseline,,0,0,0,684.191,course-10-seed-41001-baseline.json
course-10,9e4e86aaa8ceb1c263b4cb7ed6be993b47868f34778c75bcb9e020250a06eec5,41001,sensory_outputs_silenced,,0,0,0,688.460,course-10-seed-41001-sensory_outputs_silenced.json
course-10,9e4e86aaa8ceb1c263b4cb7ed6be993b47868f34778c75bcb9e020250a06eec5,41002,baseline,,0,0,0,667.244,course-10-seed-41002-baseline.json
course-10,9e4e86aaa8ceb1c263b4cb7ed6be993b47868f34778c75bcb9e020250a06eec5,41002,sensory_outputs_silenced,,0,0,0,654.863,course-10-seed-41002-sensory_outputs_silenced.json
course-10,9e4e86aaa8ceb1c263b4cb7ed6be993b47868f34778c75bcb9e020250a06eec5,41003,baseline,,0,0,0,689.495,course-10-seed-41003-baseline.json
course-10,9e4e86aaa8ceb1c263b4cb7ed6be993b47868f34778c75bcb9e020250a06eec5,41003,sensory_outputs_silenced,,0,0,0,705.668,course-10-seed-41003-sensory_outputs_silenced.json
course-10,9e4e86aaa8ceb1c263b4cb7ed6be993b47868f34778c75bcb9e020250a06eec5,41004,baseline,,0,0,0,1085.871,course-10-seed-41004-baseline.json
course-10,9e4e86aaa8ceb1c263b4cb7ed6be993b47868f34778c75bcb9e020250a06eec5,41004,sensory_outputs_silenced,,0,0,0,999.878,course-10-seed-41004-sensory_outputs_silenced.json
course-10,9e4e86aaa8ceb1c263b4cb7ed6be993b47868f34778c75bcb9e020250a06eec5,41005,baseline,,0,0,0,686.834,course-10-seed-41005-baseline.json
course-10,9e4e86aaa8ceb1c263b4cb7ed6be993b47868f34778c75bcb9e020250a06eec5,41005,sensory_outputs_silenced,,0,0,0,698.077,course-10-seed-41005-sensory_outputs_silenced.json
